team,number,name,grade,total_minutes,appearances,total_shoot_1st,total_shoot_2nd,total_shoot,total_goals,goal_rate
玉川大学,28,北村　瑞,1,62,2,0,0,0,0,0.0
桜美林大学,2,小野　文也,4,61,4,0,1,1,0,0.0
桜美林大学,68,三浦　瑠恩,1,61,5,0,2,2,1,50.0
武蔵大学,15,柳澤　広喜,3,57,4,0,0,0,1,0.0
武蔵大学,42,加藤　陽也,1,57,1,0,0,0,0,0.0
桜美林大学,14,田名部　勇,4,57,4,0,1,1,0,0.0
帝京大学,39,本間　竜有,1,56,2,0,0,0,0,0.0
東京経済大学,9,小尾　丞斗,4,53,4,0,2,2,0,0.0
大東文化大学,44,宮坂　哲之真,2,51,3,0,0,0,0,0.0
朝鮮大学校,28,崔 廣敏,4,48,3,2,0,2,0,0.0
武蔵大学,32,中西　智哉,1,48,2,1,0,1,0,0.0
大東文化大学,39,有賀　　大成,1,45,1,0,0,0,0,0.0
桜美林大学,23,和田　倖輔,3,42,2,0,3,3,1,33.3
日本大学文理学部,18,中村 陶冶,1,41,3,0,1,1,0,0.0
帝京大学,44,加藤　慧,1,39,3,0,2,2,0,0.0
朝鮮大学校,17,金 翔栄,4,37,2,0,0,0,0,0.0
桜美林大学,17,山田 　結互,1,37,2,0,0,0,0,0.0
朝鮮大学校,7,金 民学,4,37,2,0,0,0,0,0.0
朝鮮大学校,8,李　良成,1,37,1,0,1,1,0,0.0
帝京大学,15,杉浦 慶樹,4,34,3,0,5,5,0,0.0
桜美林大学,36,菊地　勝斗,4,32,3,0,1,1,0,0.0
上智大学,94,安野　一颯,2,31,4,0,0,0,0,0.0
東京経済大学,11,前島　陽向,4,31,2,0,1,1,0,0.0
学習院大学,32,岡本   惇之介,1,31,2,0,0,0,0,0.0
神奈川工科大学（神奈川県）,28,八島　渉太,1,29,2,0,0,0,0,0.0
東京経済大学,34,田中　大智,4,28,1,0,0,0,0,0.0
東京経済大学,25,都留　玄多,1,28,1,0,0,0,0,0.0
玉川大学,52,藤原　志宇,1,25,1,0,0,0,0,0.0
朝鮮大学校,13,柳　相在,1,22,1,0,0,0,0,0.0
日本大学文理学部,8,石川　雄大,1,20,1,0,0,0,0,0.0
